Designator,Mid X,Mid Y,Layer,Rotation
C1,76.731,-65.509,T,180
C2,67.3606,-62.8498,T,-90
C3,74.676,-59.459,T,-90
C4,70.6,-58.6,T,0
C5,68.6272,-62.8526,T,-90
C6,76.9875,-67.056,T,180
C7,73.66,-70.3835,T,-90
C8,70.6,-60,T,0
C9,82.296,-69.596,T,90
FB1,76.2,-70.104,T,90
R1,82.296,-60.2,T,-90
R2,82.296,-62.6,T,90
R3,82.296,-65,T,-90
R4,82.296,-67.4,T,90
R5,76.6,-62,T,0
R6,82.296,-72.136,T,90
R7,82.296,-56.411,T,-90
R8,64.0007,-63.8123,T,-90
R9,65.2627,-63.8123,T,-90
R10,66.0393,-61.7318,T,90
R11,66.0489,-59.3916,T,-90
R12,58.4,-71.085,T,90
U1,72.6,-63.6,T,-180
